venue,type,place,website,newsletter_signup_url,contact_email,likely_email_guess,remy_subscribed,emma_subscribed,method,notes
Blue Moon Cottages,cottage,rye,https://www.bluemooncottages.com.au,,,info@bluemooncottages.com.au,,,,
Brewer's Cottage — Red Hill Brewery,cottage,red-hill,https://www.redhillbrewery.com.au/brewers-cottage/,,,info@redhillbrewery.com.au,,,,
Driftaway on Dundas,cottage,rye,https://www.driftawayondundas.com,,,info@driftawayondundas.com,,,,
Hideaways at Red Hill,cottage,red-hill,https://www.tripadvisor.com/Hotel_Review-g552249-d1437809-Reviews-Hideaways_at_Red_Hill-Red_Hill_Mornington_Peninsula_Victoria.html,,,info@tripadvisor.com,,,,
Hillview Farm Cottages,cottage,main-ridge,https://hillviewfarmcottages.com.au,,,info@hillviewfarmcottages.com.au,,,,
Mornington Peninsula Beach Club Cottages,cottage,rye,https://mpcottages.com,,,info@mpcottages.com,,,,
Plantation House at Whitecliffs,cottage,rye,https://www.plantationhouse.com.au,,,info@plantationhouse.com.au,,,,
The Orchard Luxury Accommodation,cottage,red-hill,https://www.the-orchard.com.au,,,info@the-orchard.com.au,,,,
Treetops at Red Hill,cottage,red-hill,https://treetopsatredhill.com.au,,,info@treetopsatredhill.com.au,,,,
Villa Mallorca,cottage,mount-martha,https://villamallorca.com.au,,,info@villamallorca.com.au,,,,
Bass & Flinders Distillery,distillery,mornington,https://bassandflindersdistillery.com,,,info@bassandflindersdistillery.com,,,,
Happy Glamper,glamping,merricks,https://www.happyglamper.com.au/,,,info@happyglamper.com.au,,,,
Iluka Retreat & Camp,glamping,shoreham,https://www.ilukaretreat.com.au/,,,info@ilukaretreat.com.au,,,,
Mornington Peninsula Retro Caravans,glamping,rye,https://kanastacaravanpark.com.au/retro-caravans/,,,info@kanastacaravanpark.com.au,,,,
Peninsula Hot Springs Eco Lodges,glamping,cape-schanck,https://www.peninsulahotsprings.com/accommodation/eco-lodges/,,,info@peninsulahotsprings.com,,,,
Peninsula Hot Springs Glamping,glamping,cape-schanck,https://www.peninsulahotsprings.com/stay,,,info@peninsulahotsprings.com,,,,
Point Nepean Discovery Tents,glamping,portsea,https://www.parks.vic.gov.au/places-to-see/parks/point-nepean-national-park/where-to-stay/point-nepean-discovery-tents,,,info@parks.vic.gov.au,,,,
Yurt Hideaway,glamping,rye,https://yurthideaway.com.au/,,,info@yurthideaway.com.au,,,,
Flinders Hotel,hotel,flinders,https://flindershotel.com.au,,,info@flindershotel.com.au,,,,
Hotel Sorrento,hotel,sorrento,https://hotelsorrento.com.au,,,info@hotelsorrento.com.au,,,,
Jackalope Hotel,hotel,red-hill,https://jackalopehotels.com/mornington-peninsula,,,info@jackalopehotels.com,,,,
Lindenderry at Red Hill,hotel,red-hill,https://lancemore.com.au/lindenderry,,,info@lancemore.com.au,,,,
The Continental,hotel,sorrento,https://continentalsorrento.com.au,,,info@continentalsorrento.com.au,,,,
Balnarring Market,market,balnarring,https://www.balnarringmarket.com.au,,,info@balnarringmarket.com.au,,,,
Mornington Farmers' Market,market,mornington,https://mpfm.com.au,,,info@mpfm.com.au,,,,
Red Hill Market,market,red-hill,https://www.redhillmarket.com.au,,,info@redhillmarket.com.au,,,,
Advance Mussel Supply,producer,hastings,https://advancemusselsupply.com.au,,,info@advancemusselsupply.com.au,,,,
Ashcombe Maze & Lavender Gardens,producer,shoreham,https://www.ashcombemaze.com.au,,,info@ashcombemaze.com.au,,,,
Main Ridge Dairy,producer,main-ridge,https://www.mainridgedairy.com.au,,,info@mainridgedairy.com.au,,,,
Mornington Peninsula Chocolates,producer,flinders,https://morningtonpeninsulachocolates.com.au,,,info@morningtonpeninsulachocolates.com.au,,,,
Mornington Peninsula Cider,producer,main-ridge,https://mpcider.com.au,,,info@mpcider.com.au,,,,
Peninsula Fresh Organics,producer,mornington,https://peninsulafreshorganics.com.au,,,info@peninsulafreshorganics.com.au,,,,
Red Hill Cheese,producer,red-hill,https://redhillcheese.com.au,,,info@redhillcheese.com.au,,,,
Red Hill Truffles,producer,red-hill,https://redhilltruffles.com.au,,,info@redhilltruffles.com.au,,,,
Sunny Ridge Strawberry Farm,producer,main-ridge,https://www.sunnyridge.com.au,,,info@sunnyridge.com.au,,,,
Dromana Hotel,pub,dromana,https://dromanahotel.com.au,,,info@dromanahotel.com.au,,,,
Portsea Hotel,pub,portsea,https://www.portseahotel.com.au,,,info@portseahotel.com.au,,,,
Rye Hotel,pub,rye,https://ryehotel.com.au,,,info@ryehotel.com.au,,,,
The Balnarring Pub,pub,balnarring,https://balnarringhotel.com.au,,,info@balnarringhotel.com.au,,,,
The Bay Hotel Mornington,pub,mornington,https://thebayhotelmornington.com.au,,,info@thebayhotelmornington.com.au,,,,
The Mornington Hotel,pub,mornington,https://morningtonhotel.com.au,,,info@morningtonhotel.com.au,,,,
The Sorrento Hotel,pub,sorrento,https://thesorrento.com.au,,,info@thesorrento.com.au,,,,
Allis Wine Bar,restaurant,main-ridge,https://www.tenminutesbytractor.com.au/allis,,,info@tenminutesbytractor.com.au,,,,
Barragunda Dining,restaurant,cape-schanck,https://www.barragundadining.com.au,,,info@barragundadining.com.au,,,,
Bistro Elba,restaurant,sorrento,https://www.bistroelba.com.au,,,info@bistroelba.com.au,,,,
Cedar & Pine,restaurant,mornington,https://cedarandpine.com.au,,,info@cedarandpine.com.au,,,,
Ciao Amici,restaurant,mornington,https://ciaoamici.com.au,,,info@ciaoamici.com.au,,,,
Doot Doot Doot,restaurant,red-hill,https://jackalopehotels.com/doot-doot-doot,,,info@jackalopehotels.com,,,,
Green Olive at Red Hill,restaurant,red-hill,https://greenolive.com.au,,,info@greenolive.com.au,,,,
La Baracca at T'Gallant,restaurant,main-ridge,https://www.tgallant.com.au/la-baracca,,,info@tgallant.com.au,,,,
Laura at Pt. Leo,restaurant,red-hill,https://www.ptleoestate.com.au/laura,,,info@ptleoestate.com.au,,,,
Many Little,restaurant,red-hill,https://manylittle.com.au,,,info@manylittle.com.au,,,,
Martha's Table,restaurant,safety-beach,https://www.marthastable.com.au,,,info@marthastable.com.au,,,,
Max's at Red Hill Estate,restaurant,red-hill,https://www.redhillestate.com.au/max-s-restaurant,,,info@redhillestate.com.au,,,,
Merricks General Wine Store,restaurant,merricks,https://merricksgeneralwinestore.com.au,,,info@merricksgeneralwinestore.com.au,,,,
Moke Dining,restaurant,flinders,https://mokedining.com.au,,hello@mokedining.com.au,,,,,
Mr Vincenzo's,restaurant,mornington,https://mrvincenzos.com,,,info@mrvincenzos.com,,,,
Pane e Vino,restaurant,mount-martha,https://paneevino.com.au,,,info@paneevino.com.au,,,,
Pier Street Kitchen,restaurant,flinders,https://pierstreetflinders.com.au,,,info@pierstreetflinders.com.au,,,,
Point Leo Wine Terrace,restaurant,merricks,https://www.ptleoestate.com.au,,,info@ptleoestate.com.au,,,,
Port Phillip Estate Restaurant,restaurant,red-hill,https://www.portphillipestate.com.au,,,info@portphillipestate.com.au,,,,
Rare Hare at Willow Creek,restaurant,merricks,https://jackalopehotels.com/rare-hare,,,info@jackalopehotels.com,,,,
Red Gum BBQ,restaurant,red-hill,https://redgumbbq.com.au,,,info@redgumbbq.com.au,,,,
Stillwater at Crittenden,restaurant,dromana,https://www.crittendenwines.com.au,,,info@crittendenwines.com.au,,,,
Tedesca Osteria,restaurant,red-hill,https://www.tedescaosteria.com.au,,,info@tedescaosteria.com.au,,,,
The Baths Sorrento,restaurant,sorrento,https://thebaths.com.au,,,info@thebaths.com.au,,,,
The Epicurean,restaurant,red-hill,https://epicurean.com.au,,,info@epicurean.com.au,,,,
The Rocks Mornington,restaurant,mornington,https://therocksmornington.com.au,,,info@therocksmornington.com.au,,,,
Via Boffe,restaurant,main-ridge,https://viaboffe.com.au,,,info@viaboffe.com.au,,,,
Alba Thermal Springs & Spa,spa,red-hill,https://albathermalsprings.com.au,,,info@albathermalsprings.com.au,,,,
Endota Spa Mornington,spa,mornington,https://endota.com.au/pages/mornington,,,info@endota.com.au,,,,
One Spa at RACV Cape Schanck Resort,spa,cape-schanck,https://www.racv.com.au/travel-leisure/racv-resorts/our-destinations/cape-schanck-resort/health-fitness/one-spa.html,,,info@racv.com.au,,,,
Peninsula Hot Springs,spa,cape-schanck,https://www.peninsulahotsprings.com,,,info@peninsulahotsprings.com,,,,
Spa by Jackalope,spa,merricks,https://jackalopehotels.com/mornington-peninsula/wellness/spa,,,info@jackalopehotels.com,,,,
Cassis Red Hill,villa,red-hill,https://cassisredhill.com.au,,,info@cassisredhill.com.au,,,,
Crittenden Estate Villas,villa,dromana,https://www.lakesidevillas.com.au,,,info@lakesidevillas.com.au,,,,
Mantons Creek Estate,villa,shoreham,https://mantonscreekestate.com.au,,,info@mantonscreekestate.com.au,,,,
Point Leo Estate Villas,villa,merricks,https://www.ptleoestate.com.au/stay,,,info@ptleoestate.com.au,,,,
Polperro Villas,villa,red-hill,https://www.polperrowines.com.au/villas,,,info@polperrowines.com.au,,,,
Sorrento Coastal Retreat,villa,sorrento,https://sorrentocoastalretreat.com.au,,,info@sorrentocoastalretreat.com.au,,,,
The Cape Retreat,villa,cape-schanck,https://thecaperetreat.com.au,,,info@thecaperetreat.com.au,,,,
The Sanctuary at Alba,villa,cape-schanck,https://albathermalsprings.com.au/accommodation,,,info@albathermalsprings.com.au,,,,
Woodman Estate,villa,moorooduc,https://woodmanestate.com.au,,,info@woodmanestate.com.au,,,,
Avani Wines,winery,red-hill,https://avaniwines.com.au,,,info@avaniwines.com.au,,,,
Baillieu Vineyard,winery,merricks,https://baillieuvineyard.com.au,,,info@baillieuvineyard.com.au,,,,
Barmah Park Vineyard,winery,moorooduc,https://www.barmahpark.com.au,,,info@barmahpark.com.au,,,,
Circe Wines,winery,mornington,https://www.circewines.com.au,,,info@circewines.com.au,,,,
Crittenden Estate,winery,dromana,https://www.crittendenwines.com.au,,,info@crittendenwines.com.au,,,,
Dexter Wines,winery,main-ridge,https://www.dexterwines.com.au,,,info@dexterwines.com.au,,,,
Dromana Estate,winery,tuerong,https://www.dromanaestate.com.au,,,info@dromanaestate.com.au,,,,
Elan Vineyard & Gallery,winery,balnarring,https://elanvineyard.com.au,,,info@elanvineyard.com.au,,,,
Eldridge Estate,winery,red-hill,https://www.eldridge-estate.com.au,,,info@eldridge-estate.com.au,,,,
Elgee Park,winery,merricks,https://elgeeparkwines.com.au,,,info@elgeeparkwines.com.au,,,,
Foxeys Hangout,winery,red-hill,https://www.foxeys-hangout.com.au,,,info@foxeys-hangout.com.au,,,,
Garagiste,winery,mornington,https://garagiste.com.au,,,info@garagiste.com.au,,,,
Hurley Vineyard,winery,balnarring,https://www.hurleyvineyard.com.au,,,info@hurleyvineyard.com.au,,,,
Kerri Greens,winery,merricks,https://www.kerrigreens.com,,,info@kerrigreens.com,,,,
Kooyong,winery,main-ridge,https://www.kooyong.com,,,info@kooyong.com,,,,
Lightfoot Wines,winery,main-ridge,https://lightfootwines.com.au,,,info@lightfootwines.com.au,,,,
Main Ridge Estate,winery,main-ridge,https://mre.com.au,,,info@mre.com.au,,,,
Merricks Estate,winery,merricks,https://merricksestate.com.au,,,info@merricksestate.com.au,,,,
Montalto Vineyard & Olive Grove,winery,red-hill,https://www.montalto.com.au,,,info@montalto.com.au,,,,
Moorooduc Estate,winery,moorooduc,https://moorooducestate.com.au,,,info@moorooducestate.com.au,,,,
Morning Sun Vineyard,winery,main-ridge,https://morningsunvineyard.com.au,,,info@morningsunvineyard.com.au,,,,
Nazaaray Estate,winery,flinders,https://nazaaray.com.au,,,info@nazaaray.com.au,,,,
Ocean Eight Vineyard,winery,main-ridge,https://oceaneight.com.au,,,info@oceaneight.com.au,,,,
Onannon,winery,tuerong,https://www.onannon.com.au,,,info@onannon.com.au,,,,
Paradigm Hill,winery,merricks,https://www.paradigmhill.com.au,,,info@paradigmhill.com.au,,,,
Paringa Estate,winery,red-hill,https://paringaestate.com.au,,,info@paringaestate.com.au,,,,
Phaedrus Estate,winery,dromana,https://phaedrusestate.com,,,info@phaedrusestate.com,,,,
Polperro,winery,red-hill,https://www.polperrowines.com.au,,,info@polperrowines.com.au,,,,
Port Phillip Estate,winery,red-hill,https://www.portphillipestate.com.au,,,info@portphillipestate.com.au,,,,
Prancing Horse Estate,winery,red-hill,https://www.prancinghorseestate.com,,,info@prancinghorseestate.com,,,,
Pt. Leo Estate,winery,merricks,https://www.ptleoestate.com.au,,,info@ptleoestate.com.au,,,,
Quealy Winemakers,winery,balnarring,https://quealy.com.au,,,info@quealy.com.au,,,,
Red Hill Estate,winery,red-hill,https://www.redhillestate.com.au,,,info@redhillestate.com.au,,,,
Scorpo Wines,winery,merricks,https://www.scorpowines.com.au,,,info@scorpowines.com.au,,,,
Stonier Wines,winery,merricks,https://www.stonier.com.au,,,info@stonier.com.au,,,,
Stumpy Gully Vineyard,winery,moorooduc,https://stumpygully.com.au,,,info@stumpygully.com.au,,,,
T'Gallant,winery,main-ridge,https://tgallantvineyard.com.au,,,info@tgallantvineyard.com.au,,,,
Ten Minutes by Tractor,winery,main-ridge,https://www.tenminutesbytractor.com.au,,,info@tenminutesbytractor.com.au,,,,
Trofeo Estate,winery,dromana,https://trofeoestate.com,,,info@trofeoestate.com,,,,
Tuck's Ridge,winery,red-hill,https://tucksridge.com.au,,,info@tucksridge.com.au,,,,
Willow Creek Vineyard,winery,merricks,https://rarehare.com.au,,,info@rarehare.com.au,,,,
Yabby Lake Vineyard,winery,tuerong,https://www.yabbylake.com,,,info@yabbylake.com,,,,
